timestamp,road_id,severity
2025-12-02 00:00:00,R005,Major
2025-12-02 00:00:00,R010,Critical
2025-12-02 00:15:00,R008,Major
2025-12-02 00:30:00,R004,Minor
2025-12-02 00:45:00,R010,Minor
2025-12-02 01:00:00,R002,Minor
2025-12-02 01:00:00,R003,Minor
2025-12-02 01:15:00,R005,Minor
2025-12-02 01:15:00,R009,Minor
2025-12-02 01:30:00,R001,Critical
2025-12-02 01:30:00,R008,Major
2025-12-02 01:45:00,R009,Minor
2025-12-02 02:15:00,R006,Major
2025-12-02 02:30:00,R001,Minor
2025-12-02 02:30:00,R008,Minor
2025-12-02 03:00:00,R010,Major
2025-12-02 03:30:00,R006,Critical
2025-12-02 03:30:00,R008,Minor
2025-12-02 03:45:00,R005,Minor
2025-12-02 03:45:00,R008,Minor
2025-12-02 04:00:00,R001,Major
2025-12-02 04:00:00,R004,Minor
2025-12-02 04:00:00,R007,Minor
2025-12-02 04:00:00,R009,Minor
2025-12-02 04:15:00,R009,Minor
2025-12-02 04:30:00,R002,Minor
2025-12-02 05:00:00,R005,Minor
2025-12-02 05:00:00,R007,Minor
2025-12-02 05:15:00,R002,Minor
2025-12-02 05:15:00,R006,Major
2025-12-02 05:15:00,R010,Minor
2025-12-02 05:30:00,R007,Minor
2025-12-02 06:00:00,R002,Critical
2025-12-02 06:00:00,R003,Minor
2025-12-02 06:15:00,R009,Major
2025-12-02 06:30:00,R004,Minor
2025-12-02 06:30:00,R006,Minor
2025-12-02 06:45:00,R002,Major
2025-12-02 06:45:00,R006,Minor
2025-12-02 07:00:00,R001,Minor
2025-12-02 07:00:00,R007,Major
2025-12-02 07:00:00,R010,Critical
2025-12-02 07:15:00,R003,Critical
2025-12-02 07:30:00,R005,Major
2025-12-02 07:30:00,R006,Critical
2025-12-02 07:30:00,R008,Major
2025-12-02 07:45:00,R001,Minor
2025-12-02 07:45:00,R009,Minor
2025-12-02 07:45:00,R010,Minor
2025-12-02 08:00:00,R006,Critical
2025-12-02 08:15:00,R007,Critical
2025-12-02 08:15:00,R008,Minor
2025-12-02 08:30:00,R005,Minor
2025-12-02 09:00:00,R006,Major
2025-12-02 09:15:00,R010,Minor
2025-12-02 09:30:00,R002,Major
2025-12-02 09:30:00,R005,Minor
2025-12-02 09:30:00,R009,Minor
2025-12-02 09:45:00,R004,Major
2025-12-02 09:45:00,R006,Minor
2025-12-02 09:45:00,R007,Minor
2025-12-02 10:00:00,R001,Minor
2025-12-02 10:00:00,R002,Minor
2025-12-02 10:00:00,R005,Minor
2025-12-02 10:00:00,R006,Minor
2025-12-02 10:15:00,R004,Major
2025-12-02 10:15:00,R007,Minor
2025-12-02 10:30:00,R005,Minor
2025-12-02 10:45:00,R002,Major
2025-12-02 11:00:00,R007,Major
2025-12-02 11:45:00,R001,Minor
2025-12-02 12:00:00,R001,Critical
2025-12-02 12:00:00,R002,Minor
2025-12-02 12:00:00,R008,Major
2025-12-02 12:00:00,R009,Major
2025-12-02 12:30:00,R002,Critical
2025-12-02 12:30:00,R007,Critical
2025-12-02 12:45:00,R002,Major
2025-12-02 12:45:00,R005,Minor
2025-12-02 13:00:00,R003,Minor
2025-12-02 13:15:00,R006,Minor
2025-12-02 13:15:00,R009,Minor
2025-12-02 13:15:00,R010,Minor
2025-12-02 14:00:00,R004,Major
2025-12-02 14:15:00,R007,Major
2025-12-02 14:30:00,R001,Minor
2025-12-02 14:45:00,R001,Minor
2025-12-02 15:00:00,R002,Critical
2025-12-02 15:00:00,R005,Major
2025-12-02 15:00:00,R006,Minor
2025-12-02 15:00:00,R007,Major
2025-12-02 15:15:00,R009,Major
2025-12-02 15:45:00,R010,Minor
2025-12-02 16:15:00,R005,Critical
2025-12-02 16:30:00,R002,Minor
2025-12-02 16:30:00,R006,Minor
2025-12-02 16:45:00,R003,Minor
2025-12-02 16:45:00,R008,Minor
2025-12-02 17:00:00,R002,Minor
2025-12-02 17:00:00,R004,Major
2025-12-02 17:00:00,R006,Major
2025-12-02 17:00:00,R010,Major
2025-12-02 17:15:00,R009,Minor
2025-12-02 17:30:00,R009,Minor
2025-12-02 17:30:00,R010,Minor
2025-12-02 17:45:00,R002,Minor
2025-12-02 17:45:00,R005,Minor
2025-12-02 17:45:00,R007,Major
2025-12-02 17:45:00,R010,Minor
2025-12-02 18:00:00,R003,Minor
2025-12-02 18:00:00,R004,Major
2025-12-02 18:00:00,R008,Minor
2025-12-02 18:30:00,R006,Minor
2025-12-02 18:30:00,R008,Minor
2025-12-02 18:45:00,R002,Critical
2025-12-02 18:45:00,R005,Minor
2025-12-02 18:45:00,R009,Minor
2025-12-02 19:00:00,R008,Major
2025-12-02 19:45:00,R004,Minor
2025-12-02 19:45:00,R007,Minor
2025-12-02 19:45:00,R008,Minor
2025-12-02 20:00:00,R001,Minor
2025-12-02 20:00:00,R010,Major
2025-12-02 20:30:00,R001,Major
2025-12-02 20:30:00,R003,Major
2025-12-02 20:30:00,R004,Major
2025-12-02 20:45:00,R008,Minor
2025-12-02 21:00:00,R007,Major
2025-12-02 21:15:00,R005,Minor
2025-12-02 21:15:00,R007,Major
2025-12-02 21:30:00,R005,Major
2025-12-02 21:45:00,R002,Minor
2025-12-02 22:00:00,R004,Major
2025-12-02 22:15:00,R001,Critical
2025-12-02 22:15:00,R004,Major
2025-12-02 22:45:00,R004,Minor
2025-12-02 23:00:00,R002,Critical
2025-12-02 23:00:00,R003,Minor
2025-12-02 23:00:00,R006,Critical
2025-12-02 23:45:00,R005,Minor
2025-12-02 23:45:00,R006,Major
2025-12-02 23:45:00,R008,Minor
